Date,PunchhRequests
2022-05-06 00:00:00.000,22
2022-05-06 00:15:00.000,27
2022-05-06 00:30:00.000,25
2022-05-06 00:45:00.000,23
2022-05-06 01:00:00.000,25
2022-05-06 01:15:00.000,23
2022-05-06 01:30:00.000,23
2022-05-06 01:45:00.000,29
2022-05-06 02:00:00.000,24
2022-05-06 02:15:00.000,28
2022-05-06 02:30:00.000,21
2022-05-06 02:45:00.000,28
2022-05-06 03:00:00.000,30
2022-05-06 03:15:00.000,20
2022-05-06 03:30:00.000,25
2022-05-06 03:45:00.000,27
2022-05-06 04:00:00.000,23
2022-05-06 04:15:00.000,27
2022-05-06 04:30:00.000,25
2022-05-06 04:45:00.000,23
2022-05-06 05:00:00.000,27
2022-05-06 05:15:00.000,22
2022-05-06 05:30:00.000,24
2022-05-06 05:45:00.000,27
2022-05-06 06:00:00.000,22
2022-05-06 06:15:00.000,27
2022-05-06 06:30:00.000,28
2022-05-06 06:45:00.000,20
2022-05-06 07:00:00.000,28
2022-05-06 07:15:00.000,26
2022-05-06 07:30:00.000,21
2022-05-06 07:45:00.000,26
2022-05-06 08:00:00.000,25
2022-05-06 08:15:00.000,22
2022-05-06 08:30:00.000,27
2022-05-06 08:45:00.000,31
2022-05-06 09:00:00.000,23
2022-05-06 09:15:00.000,27
2022-05-06 09:30:00.000,24
2022-05-06 09:45:00.000,27
2022-05-06 10:00:00.000,61
2022-05-06 10:15:00.000,78
2022-05-06 10:30:00.000,146
2022-05-06 10:45:00.000,221
2022-05-06 11:00:00.000,343
2022-05-06 11:15:00.000,424
2022-05-06 11:30:00.000,402
2022-05-06 11:45:00.000,580
2022-05-06 12:00:00.000,525
2022-05-06 12:15:00.000,525
2022-05-06 12:30:00.000,499
2022-05-06 12:45:00.000,468
2022-05-06 13:00:00.000,397
2022-05-06 13:15:00.000,312
2022-05-06 13:30:00.000,321
2022-05-06 13:45:00.000,292
2022-05-06 14:00:00.000,298
2022-05-06 14:15:00.000,228
2022-05-06 14:30:00.000,201
2022-05-06 14:45:00.000,192
2022-05-06 15:00:00.000,195
2022-05-06 15:15:00.000,216
2022-05-06 15:30:00.000,175
2022-05-06 15:45:00.000,189
2022-05-06 16:00:00.000,181
2022-05-06 16:15:00.000,240
2022-05-06 16:30:00.000,274
2022-05-06 16:45:00.000,245
2022-05-06 17:00:00.000,304
2022-05-06 17:15:00.000,369
2022-05-06 17:30:00.000,397
2022-05-06 17:45:00.000,398
2022-05-06 18:00:00.000,416
2022-05-06 18:15:00.000,375
2022-05-06 18:30:00.000,420
2022-05-06 18:45:00.000,346
2022-05-06 19:00:00.000,369
2022-05-06 19:15:00.000,348
2022-05-06 19:30:00.000,291
2022-05-06 19:45:00.000,337
2022-05-06 20:00:00.000,274
2022-05-06 20:15:00.000,268
2022-05-06 20:30:00.000,243
2022-05-06 20:45:00.000,165
2022-05-06 21:00:00.000,103
2022-05-06 21:15:00.000,68
2022-05-06 21:30:00.000,55
2022-05-06 21:45:00.000,37
2022-05-06 22:00:00.000,27
2022-05-06 22:15:00.000,35
2022-05-06 22:30:00.000,22
2022-05-06 22:45:00.000,27
2022-05-06 23:00:00.000,29
2022-05-06 23:15:00.000,22
2022-05-06 23:30:00.000,26
2022-05-06 23:45:00.000,29
