Date,Sales
2022-05-10 08:00:00.000,1
2022-05-10 08:02:00.000,1
2022-05-10 08:25:00.000,2
2022-05-10 08:47:00.000,1
2022-05-10 08:49:00.000,1
2022-05-10 08:53:00.000,1
2022-05-10 09:04:00.000,1
2022-05-10 09:07:00.000,1
2022-05-10 09:15:00.000,1
2022-05-10 09:17:00.000,1
2022-05-10 09:21:00.000,1
2022-05-10 09:30:00.000,1
2022-05-10 09:36:00.000,1
2022-05-10 09:42:00.000,2
2022-05-10 09:44:00.000,1
2022-05-10 09:46:00.000,1
2022-05-10 09:55:00.000,1
2022-05-10 09:56:00.000,1
2022-05-10 09:59:00.000,2
2022-05-10 10:00:00.000,4
2022-05-10 10:01:00.000,4
2022-05-10 10:02:00.000,11
2022-05-10 10:03:00.000,9
2022-05-10 10:04:00.000,11
2022-05-10 10:05:00.000,8
2022-05-10 10:06:00.000,5
2022-05-10 10:07:00.000,9
2022-05-10 10:08:00.000,6
2022-05-10 10:09:00.000,8
2022-05-10 10:10:00.000,11
2022-05-10 10:11:00.000,9
2022-05-10 10:12:00.000,6
2022-05-10 10:13:00.000,3
2022-05-10 10:14:00.000,11
2022-05-10 10:15:00.000,22
2022-05-10 10:16:00.000,13
2022-05-10 10:17:00.000,13
2022-05-10 10:18:00.000,13
2022-05-10 10:19:00.000,18
2022-05-10 10:20:00.000,10
2022-05-10 10:21:00.000,15
2022-05-10 10:22:00.000,16
2022-05-10 10:23:00.000,15
2022-05-10 10:24:00.000,13
2022-05-10 10:25:00.000,11
2022-05-10 10:26:00.000,9
2022-05-10 10:27:00.000,16
2022-05-10 10:28:00.000,16
2022-05-10 10:29:00.000,14
2022-05-10 10:30:00.000,29
2022-05-10 10:31:00.000,16
2022-05-10 10:32:00.000,19
2022-05-10 10:33:00.000,20
2022-05-10 10:34:00.000,24
2022-05-10 10:35:00.000,26
2022-05-10 10:36:00.000,22
2022-05-10 10:37:00.000,24
2022-05-10 10:38:00.000,25
2022-05-10 10:39:00.000,25
2022-05-10 10:40:00.000,30
2022-05-10 10:41:00.000,29
2022-05-10 10:42:00.000,27
2022-05-10 10:43:00.000,33
2022-05-10 10:44:00.000,26
2022-05-10 10:45:00.000,65
2022-05-10 10:46:00.000,40
2022-05-10 10:47:00.000,25
2022-05-10 10:48:00.000,32
2022-05-10 10:49:00.000,23
2022-05-10 10:50:00.000,30
2022-05-10 10:51:00.000,33
2022-05-10 10:52:00.000,38
2022-05-10 10:53:00.000,37
2022-05-10 10:54:00.000,55
2022-05-10 10:55:00.000,42
2022-05-10 10:56:00.000,43
2022-05-10 10:57:00.000,34
2022-05-10 10:58:00.000,42
2022-05-10 10:59:00.000,41
2022-05-10 11:00:00.000,85
2022-05-10 11:01:00.000,50
2022-05-10 11:02:00.000,51
2022-05-10 11:03:00.000,50
2022-05-10 11:04:00.000,52
2022-05-10 11:05:00.000,46
2022-05-10 11:06:00.000,57
2022-05-10 11:07:00.000,59
2022-05-10 11:08:00.000,53
2022-05-10 11:09:00.000,62
2022-05-10 11:10:00.000,51
2022-05-10 11:11:00.000,48
2022-05-10 11:12:00.000,67
2022-05-10 11:13:00.000,61
2022-05-10 11:14:00.000,72
2022-05-10 11:15:00.000,132
2022-05-10 11:16:00.000,79
2022-05-10 11:17:00.000,63
2022-05-10 11:18:00.000,60
2022-05-10 11:19:00.000,60
2022-05-10 11:20:00.000,71
2022-05-10 11:21:00.000,70
2022-05-10 11:22:00.000,86
2022-05-10 11:23:00.000,85
2022-05-10 11:24:00.000,67
2022-05-10 11:25:00.000,78
2022-05-10 11:26:00.000,72
2022-05-10 11:27:00.000,86
2022-05-10 11:28:00.000,79
2022-05-10 11:29:00.000,77
2022-05-10 11:30:00.000,136
2022-05-10 11:31:00.000,79
2022-05-10 11:32:00.000,78
2022-05-10 11:33:00.000,91
2022-05-10 11:34:00.000,84
2022-05-10 11:35:00.000,72
2022-05-10 11:36:00.000,88
2022-05-10 11:37:00.000,91
2022-05-10 11:38:00.000,108
2022-05-10 11:39:00.000,88
2022-05-10 11:40:00.000,86
2022-05-10 11:41:00.000,76
2022-05-10 11:42:00.000,97
2022-05-10 11:43:00.000,106
2022-05-10 11:44:00.000,101
2022-05-10 11:45:00.000,194
2022-05-10 11:46:00.000,102
2022-05-10 11:47:00.000,94
2022-05-10 11:48:00.000,98
2022-05-10 11:49:00.000,99
2022-05-10 11:50:00.000,99
2022-05-10 11:51:00.000,93
2022-05-10 11:52:00.000,100
2022-05-10 11:53:00.000,103
2022-05-10 11:54:00.000,93
2022-05-10 11:55:00.000,101
2022-05-10 11:56:00.000,110
2022-05-10 11:57:00.000,106
2022-05-10 11:58:00.000,107
2022-05-10 11:59:00.000,88
2022-05-10 12:00:00.000,231
2022-05-10 12:01:00.000,104
2022-05-10 12:02:00.000,104
2022-05-10 12:03:00.000,103
2022-05-10 12:04:00.000,118
2022-05-10 12:05:00.000,111
2022-05-10 12:06:00.000,106
2022-05-10 12:07:00.000,131
2022-05-10 12:08:00.000,112
2022-05-10 12:09:00.000,124
2022-05-10 12:10:00.000,116
2022-05-10 12:11:00.000,111
2022-05-10 12:12:00.000,111
2022-05-10 12:13:00.000,113
2022-05-10 12:14:00.000,122
2022-05-10 12:15:00.000,244
2022-05-10 12:16:00.000,130
2022-05-10 12:17:00.000,118
2022-05-10 12:18:00.000,113
2022-05-10 12:19:00.000,128
2022-05-10 12:20:00.000,105
2022-05-10 12:21:00.000,132
2022-05-10 12:22:00.000,136
2022-05-10 12:23:00.000,108
2022-05-10 12:24:00.000,126
2022-05-10 12:25:00.000,120
2022-05-10 12:26:00.000,122
2022-05-10 12:27:00.000,123
2022-05-10 12:28:00.000,111
2022-05-10 12:29:00.000,115
2022-05-10 12:30:00.000,247
2022-05-10 12:31:00.000,108
2022-05-10 12:32:00.000,114
2022-05-10 12:33:00.000,120
2022-05-10 12:34:00.000,113
2022-05-10 12:35:00.000,99
2022-05-10 12:36:00.000,124
2022-05-10 12:37:00.000,100
2022-05-10 12:38:00.000,108
2022-05-10 12:39:00.000,102
2022-05-10 12:40:00.000,111
2022-05-10 12:41:00.000,103
2022-05-10 12:42:00.000,106
2022-05-10 12:43:00.000,99
2022-05-10 12:44:00.000,113
2022-05-10 12:45:00.000,181
2022-05-10 12:46:00.000,99
2022-05-10 12:47:00.000,87
2022-05-10 12:48:00.000,97
2022-05-10 12:49:00.000,103
2022-05-10 12:50:00.000,93
2022-05-10 12:51:00.000,101
2022-05-10 12:52:00.000,97
2022-05-10 12:53:00.000,83
2022-05-10 12:54:00.000,83
2022-05-10 12:55:00.000,100
2022-05-10 12:56:00.000,89
2022-05-10 12:57:00.000,91
2022-05-10 12:58:00.000,80
2022-05-10 12:59:00.000,90
2022-05-10 13:00:00.000,177
2022-05-10 13:01:00.000,84
2022-05-10 13:02:00.000,85
2022-05-10 13:03:00.000,105
2022-05-10 13:04:00.000,87
2022-05-10 13:05:00.000,90
2022-05-10 13:06:00.000,84
2022-05-10 13:07:00.000,103
2022-05-10 13:08:00.000,101
2022-05-10 13:09:00.000,98
2022-05-10 13:10:00.000,86
2022-05-10 13:11:00.000,94
2022-05-10 13:12:00.000,100
2022-05-10 13:13:00.000,86
2022-05-10 13:14:00.000,90
2022-05-10 13:15:00.000,152
2022-05-10 13:16:00.000,81
2022-05-10 13:17:00.000,79
2022-05-10 13:18:00.000,80
2022-05-10 13:19:00.000,85
2022-05-10 13:20:00.000,90
2022-05-10 13:21:00.000,98
2022-05-10 13:22:00.000,86
2022-05-10 13:23:00.000,62
2022-05-10 13:24:00.000,74
2022-05-10 13:25:00.000,67
2022-05-10 13:26:00.000,87
2022-05-10 13:27:00.000,78
2022-05-10 13:28:00.000,86
2022-05-10 13:29:00.000,79
2022-05-10 13:30:00.000,113
2022-05-10 13:31:00.000,76
2022-05-10 13:32:00.000,77
2022-05-10 13:33:00.000,82
2022-05-10 13:34:00.000,72
2022-05-10 13:35:00.000,72
2022-05-10 13:36:00.000,67
2022-05-10 13:37:00.000,74
2022-05-10 13:38:00.000,59
2022-05-10 13:39:00.000,58
2022-05-10 13:40:00.000,58
2022-05-10 13:41:00.000,61
2022-05-10 13:42:00.000,74
2022-05-10 13:43:00.000,69
2022-05-10 13:44:00.000,54
2022-05-10 13:45:00.000,92
2022-05-10 13:46:00.000,52
2022-05-10 13:47:00.000,65
2022-05-10 13:48:00.000,58
2022-05-10 13:49:00.000,70
2022-05-10 13:50:00.000,70
2022-05-10 13:51:00.000,60
2022-05-10 13:52:00.000,68
2022-05-10 13:53:00.000,59
2022-05-10 13:54:00.000,62
2022-05-10 13:55:00.000,68
2022-05-10 13:56:00.000,69
2022-05-10 13:57:00.000,60
2022-05-10 13:58:00.000,50
2022-05-10 13:59:00.000,63
2022-05-10 14:00:00.000,80
2022-05-10 14:01:00.000,55
2022-05-10 14:02:00.000,67
2022-05-10 14:03:00.000,62
2022-05-10 14:04:00.000,52
2022-05-10 14:05:00.000,53
2022-05-10 14:06:00.000,69
2022-05-10 14:07:00.000,56
2022-05-10 14:08:00.000,65
2022-05-10 14:09:00.000,58
2022-05-10 14:10:00.000,69
2022-05-10 14:11:00.000,45
2022-05-10 14:12:00.000,57
2022-05-10 14:13:00.000,50
2022-05-10 14:14:00.000,50
2022-05-10 14:15:00.000,85
